#,id,order_id,product_id,amount
1,1,1,737,10
2,2,1,3396,7
3,3,1,3245,8
4,4,1,2683,3
5,5,2,3497,3
6,6,2,2063,9
7,7,2,3891,9
8,8,2,3507,6
9,9,2,2318,2
10,10,2,1676,4
11,11,2,1446,9
12,12,3,3844,8
13,13,3,2311,9
14,14,3,3998,9
15,15,3,3675,9
16,16,4,2629,9
17,17,4,2938,6
18,18,4,403,10
19,19,4,1799,1
20,20,5,3795,5
21,21,6,2078,8
22,22,6,2224,5
23,23,6,1931,9
24,24,6,2867,10
25,25,6,38,6
26,26,6,1109,8
27,27,6,2982,4
28,28,6,1748,1
29,29,6,1676,1
30,30,7,1583,6
31,31,7,1508,8
32,32,7,3840,6
33,33,7,3081,5
34,34,7,208,2
35,35,7,1307,3
36,36,7,2898,1
37,37,7,1753,10
38,38,7,1623,6
39,39,8,306,9
40,40,8,1738,5
41,41,9,2996,2
42,42,9,3694,1
43,43,9,46,9
44,44,9,2357,10
45,45,9,300,6
46,46,10,1130,10
47,47,11,2313,2
48,48,11,3227,7
49,49,12,3515,8
50,50,12,3275,5
51,51,13,1677,10
52,52,13,1836,10
53,53,13,1787,3
54,54,13,1279,10
55,55,13,2793,7
56,56,13,365,1
57,57,13,3770,1
58,58,13,451,6
59,59,13,2145,1
60,60,14,867,7
61,61,15,1877,10
62,62,15,3567,4
63,63,15,1169,4
64,64,15,3992,3
65,65,15,835,4
66,66,15,2596,9
67,67,15,2969,7
68,68,15,3618,2
69,69,16,3079,9
70,70,16,559,8
71,71,16,3965,8
72,72,16,111,10
73,73,16,1637,1
74,74,17,888,2
75,75,18,3554,5
76,76,18,78,9
77,77,18,2399,3
78,78,18,1642,9
79,79,18,749,8
80,80,18,1276,9
81,81,18,3970,9
82,82,18,638,6
83,83,19,399,10
84,84,19,395,5
85,85,19,256,6
86,86,19,1199,5
87,87,20,80,3
88,88,20,305,1
89,89,20,797,7
90,90,20,1785,8
91,91,20,341,6
92,92,20,1187,2
93,93,20,85,1
94,94,20,175,10
95,95,20,2970,2
96,96,20,233,9
97,97,21,1772,1
98,98,21,3367,7
99,99,21,2461,1
100,100,21,3421,6
101,101,21,1008,4
102,102,21,1277,6
103,103,22,196,7
104,104,22,1107,8
105,105,22,933,6
106,106,22,3115,5
107,107,22,2338,8
108,108,22,2016,4
109,109,22,3760,6
110,110,22,3462,7
111,111,23,2695,3
112,112,24,737,3
113,113,24,932,6
114,114,24,2876,8
115,115,24,3489,8
116,116,25,599,10
117,117,25,1458,3
118,118,25,1800,3
119,119,25,1175,1
120,120,26,2328,10
121,121,26,817,9
122,122,27,2714,2
123,123,27,1381,9
124,124,27,2737,4
125,125,27,677,6
126,126,27,994,7
127,127,27,2636,1
128,128,27,1096,5
129,129,27,820,9
130,130,27,1185,4
131,131,28,3334,10
132,132,28,3968,6
133,133,28,3679,5
134,134,28,659,4
135,135,28,574,1
136,136,28,2142,6
137,137,29,1156,7
138,138,30,602,7
139,139,30,2887,4
140,140,31,1430,9
141,141,31,2516,4
142,142,31,448,6
143,143,31,821,2
144,144,32,1757,7
145,145,32,230,10
146,146,32,2952,8
147,147,32,2089,5
148,148,32,2739,2
149,149,32,1839,7
150,150,32,1277,9
151,151,33,1233,5
152,152,33,817,6
153,153,33,857,6
154,154,34,3277,5
155,155,34,1174,4
156,156,34,1577,10
157,157,34,274,3
158,158,34,3986,3
159,159,34,3056,4
160,160,34,2468,3
161,161,35,3682,8
162,162,35,2519,5
163,163,35,374,9
164,164,35,138,8
165,165,35,1229,6
166,166,36,2176,7
167,167,36,3149,7
168,168,36,1975,2
169,169,36,2548,1
170,170,36,271,10
171,171,36,2535,3
172,172,36,1383,7
173,173,36,650,8
174,174,36,2104,7
175,175,37,2851,8
176,176,37,1594,4
177,177,37,2394,1
178,178,37,3360,4
179,179,37,3172,6
180,180,37,202,1
181,181,37,2582,4
182,182,37,2351,6
183,183,37,3221,2
184,184,37,2653,3
185,185,38,2252,6
186,186,38,2758,2
187,187,38,3211,5
188,188,38,3999,6
189,189,38,2569,8
190,190,38,2889,10
191,191,38,1770,8
192,192,39,1859,5
193,193,39,1208,7
194,194,39,2502,9
195,195,39,3357,2
196,196,39,637,3
197,197,39,35,2
198,198,39,739,8
199,199,40,3601,8
200,200,40,3736,7
201,201,40,256,9
202,202,41,764,5
203,203,41,2151,4
204,204,41,3929,8
205,205,41,3694,8
206,206,42,2146,3
207,207,42,1531,7
208,208,42,1189,6
209,209,42,793,4
210,210,42,3808,4
211,211,42,13,6
212,212,42,2771,3
213,213,43,2617,8
