#,id,name,price
1,1,Frozen Towels,518.42
2,2,Soap,183.65
3,3,Intelligent Soft Car,533.6
4,4,Handmade Soft Chips,752.84
5,5,Refined Shirt,195.27
6,6,Used Fresh Chair,833.62
7,7,Shirt,909.92
8,8,Handcrafted Mouse,320.47
9,9,Fantastic Steel Pizza,843.94
10,10,Incredible Frozen Bacon,855.59
11,11,Cotton Salad,484.85
12,12,Mouse,668.26
13,13,Cotton Soap,187.95
14,14,Mouse,686.51
15,15,Fantastic Hat,700.32
16,16,Gently Used Pants,211.03
17,17,Plastic Chips,820.14
18,18,Practical Chips,487.45
19,19,Generic Fish,658.28
20,20,Metal Towels,733.57
21,21,Unbranded Soap,263.85
22,22,Rubber Pants,742.78
23,23,Pizza,719.24
24,24,Used Frozen Ball,942.29
25,25,Wooden Towels,920.46
26,26,Tasty Steel Gloves,989.96
27,27,Ergonomic Keyboard,998.41
28,28,Cotton Keyboard,675.68
29,29,Frozen Hat,613.82
30,30,Sleek Towels,909.26
31,31,Small Chips,758.1
32,32,Metal Bike,683.48
33,33,Metal Pants,32.71
34,34,Soft Tuna,799.7
35,35,Wooden Cheese,355.97
36,36,Cheese,845.36
37,37,Cotton Cheese,703.59
38,38,Practical Cheese,740.8
39,39,Pants,871.93
40,40,Intelligent Granite Chicken,216.26
41,41,Intelligent Steel Mouse,303.12
42,42,Sausages,287.91
43,43,Incredible Rubber Fish,783.88
44,44,Ergonomic Rubber Pizza,648.99
45,45,Generic Bacon,776.26
46,46,Fantastic Steel Tuna,563.38
47,47,Granite Sausages,439.57
48,48,Ergonomic Chicken,59.59
49,49,Concrete Chicken,739.67
50,50,Fresh Ball,439.03
51,51,Rustic Plastic Ball,174.15
52,52,Handcrafted Salad,454.27
53,53,Chair,453.98
54,54,Bacon,373.75
55,55,Ergonomic Plastic Pizza,118.52
56,56,Fresh Towels,122.83
57,57,Wooden Shoes,41.86
58,58,Car,869.29
59,59,Bacon,631.99
60,60,New Metal Hat,69.85
61,61,Salad,594.93
62,62,Unbranded Shoes,619.25
63,63,Used Pants,363.56
64,64,Soap,243.59
65,65,Hat,242.24
66,66,For repair Plastic Shirt,699.8
67,67,Used Cotton Towels,392.02
68,68,Licensed Concrete Ball,786.25
69,69,Shoes,458.61
70,70,Small Chair,43.82
71,71,New Cotton Hat,144.84
72,72,Licensed Mouse,487.5
73,73,Rubber Shoes,158.05
74,74,Steel Chicken,483.58
75,75,Fish,584.14
76,76,Hat,314.1
77,77,Fantastic Metal Shoes,382.2
78,78,Wooden Car,157.25
79,79,For repair Chair,383.52
80,80,Refined Ball,990.04
81,81,Shoes,554.92
82,82,Granite Fish,199.99
83,83,Intelligent Soft Shoes,170.65
84,84,Small Soap,834.07
85,85,Rustic Rubber Pants,139.6
86,86,Computer,820.93
87,87,Intelligent Soft Fish,752.99
88,88,Ergonomic Fish,869.5
89,89,Handcrafted Metal Salad,232.14
90,90,Rubber Salad,269.21
91,91,Chair,462.1
92,92,Gently Used Concrete Car,235.91
93,93,Refined Cheese,214.74
94,94,Fantastic Rubber Bike,493.13
95,95,For repair Pants,786.05
96,96,Pants,887.98
97,97,Refined Fresh Ball,755.04
98,98,Used Granite Tuna,488.31
99,99,Awesome Cheese,643.35
100,100,Gloves,399.91
101,101,Practical Cotton Salad,145.21
102,102,Incredible Bacon,875.42
103,103,Generic Rubber Keyboard,238.97
104,104,Plastic Cheese,266.46
105,105,Intelligent Soft Salad,916.22
106,106,Pants,934.34
107,107,Practical Granite Towels,953.25
108,108,Practical Chips,498.71
109,109,Handcrafted Rubber Mouse,106.25
110,110,Rustic Concrete Keyboard,912.82
111,111,Gently Used Wooden Shirt,539.3
112,112,Refined Sausages,937.47
113,113,Refined Gloves,723.22
114,114,Tasty Concrete Pizza,543.73
115,115,Granite Pants,926.1
116,116,Fresh Chair,337.93
117,117,Keyboard,135.69
118,118,Licensed Concrete Computer,786.96
119,119,Granite Shoes,641.33
120,120,Frozen Computer,759.16
121,121,Rubber Bacon,434.41
122,122,Handcrafted Metal Chips,900.11
123,123,Unbranded Computer,583.54
124,124,Gently Used Fresh Mouse,248.46
125,125,Salad,140.26
126,126,Practical Chips,176.93
127,127,Granite Cheese,530.88
128,128,Bacon,905.7
129,129,Pants,795.54
130,130,Salad,389.02
131,131,Metal Ball,748.56
132,132,Shirt,575.29
133,133,Steel Pizza,827.65
134,134,Sleek Table,829.05
135,135,Steel Chair,959.74
136,136,Chair,242.06
137,137,Ergonomic Soft Table,540.18
138,138,Handcrafted Sausages,576.27
139,139,Concrete Chicken,209.58
140,140,Soft Car,715.21
141,141,Pants,959
142,142,Refined Keyboard,841.39
143,143,Licensed Car,54.07
144,144,Generic Granite Hat,517.03
145,145,Sleek Table,614.61
146,146,Plastic Sausages,210.49
147,147,Cotton Sausages,699.71
148,148,Licensed Shoes,950.77
149,149,Chair,248.97
150,150,Soap,162.6
151,151,Mouse,751.16
152,152,Generic Soap,501.15
153,153,Practical Bacon,36.42
154,154,Gently Used Gloves,348.8
155,155,Fresh Pizza,255.46
156,156,Chair,323.75
157,157,Licensed Computer,309.39
158,158,Ball,10.84
159,159,Handmade Gloves,850.61
160,160,Shirt,362.81
161,161,Licensed Plastic Bacon,247.41
162,162,Steel Ball,962.93
163,163,Used Frozen Bike,341.75
164,164,Chair,263.98
165,165,Fantastic Steel Soap,78.29
166,166,Cheese,845.06
167,167,Ergonomic Tuna,49.06
168,168,Concrete Shirt,845.35
169,169,Hat,147.5
170,170,Tasty Soft Hat,224.98
171,171,Frozen Pizza,186.12
172,172,For repair Frozen Ball,370.68
